"date_time","channel","films","genre","description"
2022-09-13 22:30:00,"laSexta","Indiana Jones y la última cruzada","Aventuras","El millonario Walter Donovan contrata al intrépido aventurero y arqueólogo Indiana Jones para que encuentre el mítico Santo Grial, la copa que utilizó Jesús en la Última Cena. La persona que más datos ha recopilado sobre el tema es, precisamente, el padre de Indiana. Pero este ha desparecido misteriosamente mientras trabajaba también para Donovan. Pronto, Indy descubrirá que detrás de todo el asunto están sus más odiados enemigos, los nazis. Ocho años después de ''En busca del arca perdida'', Steven Spielberg dirigió otra vez a Harrison Ford en la tercera entrega de la saga. En esta ocasión, Ford contó con un compañero de aventuras de lujo, el actor Sean Connery, en el papel de su padre. La química entre ambos personajes es uno de los aspectos más destacables de esta película. Esta tercera parte de la saga guarda muchos aspectos en común con la primera, desde tener a los nazis como enemigos, hasta la búsqueda de un objeto simbólico del cristianismo, en esta ocasión el Santo Grial. La película cosechó un enorme éxito de taquilla y ganó un Óscar por sus efectos sonoros en la edición de 1989."
2022-09-14 00:34:00,"Paramount Network","Clover","Comedia","Dos hermanos huyen de un mafioso al que deben dinero, y por el camino se encuentran a una adolescente perseguida por asesinos profesionales. ''Clover'' es una comedia negra de acción, el estilo de la misma recuerda al mismísimo Tarantino de los años 90. Mark Webber, Nicole Elizabeth Berger y Jon Abrahams son los encargados de protagonizar el largometraje, en el que aparecen dos secundarios de lujo como Ron Perlman y Chazz Palminteri. Jon Abrahams, a parte de interpretar a Mickey, es el director de este filme. La primera vez que lo hizo fue en 2016, cuando dirigió y protagonizó el drama ''All at Once''."
2022-09-14 00:45:00,"Neox","Toda la verdad","Suspense / Thriller","Claire, una dinámica abogada, y su marido, un contratista de éxito con su propio negocio, viven en la idílica Marin County. Están locamente enamorados y piensan seriamente en ampliar la familia. Pero un delito casual en su casa provoca una sucesión de acontecimientos que rompe en pedazos su mundo. El realizador Carl Franklin (''El demonio vestido de azul'') fue el responsable de este thriller dramático construido a raíz de la novela homónima de Joseph Finder. Este autor está considerado como un experto en temas relacionados con la CIA y con la política internacional y sus obras han sido elogiadas por su mezcla de incesante suspense e intriga política. A pesar de las altas expectativas, la cinta logró convencer al público, pues recaudó unas cifras nada desdeñables. También destacan las aportaciones y el carisma de sus protagonistas, un Morgan Freeman y una Ashley Judd que volvieron a compartir cartel tras ''El coleccionista de amantes''. No menos destacable fue el reparto de secundarios, que incluye nombres como James Caviezel (''La pasión de Cristo''), Bruce Davison (''X-Men'') o Amanda Peet (''Melinda y Melinda'')."
2022-09-14 01:10:00,"laSexta","Oscuro secreto","Suspense / Thriller","El carismático y atractivo líder de una comunidad de mormones muere asesinado y todas las sospechas recaen sobre Jody Arias. Ambos mantenían una extraña relación desde que ella le esperó en la puerta de un hotel en el que él impartía una conferencia. Debido a las estrictas normas de la religión mormona, Travis se ve obligado a mantener la relación con Jody en secreto, lo que le lleva a enfrentarse a un dilema entre su religión y el atractivo de la mujer. Película dirigida por Jace Alexander, afamado director de telefilmes y series de televisión norteamericanas como ''Ley y orden'', ''Rescue Me'' o ''Carry Me Home''. El reparto lo encabezan Tania Raymonde(''La matanza de Texas 3D'')y Jesse Lee Soffer (''The Mob Doctor''). Ambos actores eran ya conocidos por sus papeles en distintas series de televisión y su participación en películas, sin embargo es la primera vez que dan vida a personajes protagonistas. Tras su estreno en 2013, el telefilme obtuvo buenas críticas para los actores protagonistas por su forma de interpretar la relación entre Travis y Jody, así como el posterior juicio por asesinato. Como curiosidad, cabe destacar que la película fue grabada en tan solo 16 días."
2022-09-14 04:50:00,"Paramount Network","Querido fotogramas","Documentales","Actores, directores, periodistas y críticos del mundo del cine se embarcan, a través de las cartas de Mr. Belvedere, en un emocionante viaje por la historia del cine español. Para celebrar el 70 aniversario de la revista ''Fotogramas'', ''Querido fotogramas'' se centra en las cartas que los lectores han enviado a la publicación durante todos estos años. Entre los famosos que encontramos en este documental encontramos a Isabel Coixet, Belén Rueda, Javier Bardem, José Sacristán o Concha Velasco, entre otras caras conocidas. El encargado de escribir y dirigir este homenaje es Sergio Oksman, realizador premiado por sus trabajos en Festivales como el de Buenos Aires, Karlovy Vary o Clermont-Ferrand. También obtuvo el Goya a Mejor Cortometraje Documental por ''A Story for the Modlins'' en 2012. ''Fotogramas'' es una revista española de periodicidad mensual que trata todos los aspectos del mundo del cine. Su primer número se publicó el 15 de noviembre de 1946 de la mano del matrimonio formado por Antonio Nadal-Rodó y María Fernanda Gañán."
2022-09-14 12:40:00,"La 2","El halcón y la presa","Western","Jonathan Corbett es un cazador de recompensas de Texas que persigue a Cuchillo Sánchez, un joven mejicano acusado de la violación y el asesinato de una niña de 12 años, ocurrido en la frontera entre México y Estados Unidos. Un spaghetti western protagonizado una de las grandes estrellas del género como Lee Van Cleef y dirigido por Sergio Sollima, cineasta italiano famoso por la recordada miniserie de TV, ''Sandokan''. Dada la popularidad que alcanzaron las aventuras de uno de los personajes del filme que nos ocupa, Sollima y el actor que le daba vida, el italocubano Tomás Milian, realizaron una secuela tres años después titulada ''Corre, Cuchillo, corre''."
2022-09-14 16:10:00,"TRECE","Sindicato de asesinos","Drama","Schuyler es un policía poco ortodoxo que acostumbra a emplear la violencia en sus detenciones. Consciente de su problema e influido por los numerosos toques de atención recibidos por sus superiores, decide entregar su placa. Pero pronto tendrá que volver al servicio cuando un juez se dé cuenta de que es el hombre ideal para proteger a una joven y bella viuda. El prolífico director estadounidense David Lowell Rich se encarga de esta película de acción que combina elementos del cine de misterio y bebe de las producciones de espías de la década de los 60 y que por entonces gozaban de un notable interés. El filme recibió una calurosa acogida por parte del público y consiguió elevar la cifra de espectadores por encima del millón, algo poco habitual. Los buenos resultados cosechados también responden al reparto. El legendario Kirk Douglas comparte cartel con la italiana Sylva Koiscina (''Julieta de los espíritus'', ''Hércules encadenado''), estandarte del destape en los 60."
2022-09-14 16:20:00,"La 1","Inga Lindstrom: Baila conmigo","Drama","La profesora de baile Eva Manstein, junto a su hija Lissi y su madre Meret, debe abandonar su apartamento debido a unos nuevos propietarios. Esto supone que también pierda su amado estudio de baile."
2022-09-14 18:35:00,"TRECE","Emboscada","Western","Yellowstone Kelly, un cazador retraído y solitario, llega a Fort Wilford para vender sus pieles. Rechaza el ofrecimiento del comandante de convertirse en guía de una expedición en territorio de los sioux. De vuelta a su cabaña, acompañado por un joven que ha intimado con él, son atacados por los indios, que los llevan a su campamento. Una de las películas menos conocidas de Gordon Douglas, un cineasta de extensa carrera en Hollywood, durante la cual trató prácticamente todos los géneros. Si bien a Douglas se le reconoce sobre todo por la famosa ''La humanidad en peligro'', un clásico del cine fantástico, el director también rodó westerns. ''Emboscada'' es uno de ellos, y pertenece a aquellos en los que aparecen los indios, en este caso los sioux. Sin nada especial que comentar de la película, más que es un excelente producto de acabado artesanal y que cumple las expectativas de entretener, lo cierto es que es digno de mención el rodaje en exteriores, mediante el cual puede gozarse de los extensos parajes desiertos de Arizona."
2022-09-14 22:05:00,"La 2","Se llamaba Grace Kelly","Documental","Considerada una de las actrices más bellas de su tiempo, Grace Kelly sigue siendo un icono en la actualidad. Su vida y carrera son conocidas mundialmente, desde su trabajo en Hollywood hasta su matrimonio con el Príncipe Rainiero y su trágica muerte en un accidente de coche en 1982. Pero, ¿conocemos la historia interna? ¿Quién era realmente Grace Kelly? Gracias a un acuerdo exclusivo con el Principado de Mónaco, este documental contará la historia de Grace como nunca antes se había contado, a través de los ojos de quienes la amaban, incluida su familia, en particular el Príncipe Alberto de Mónaco, y otros amigos. Muestra tanto a Rainiero como a Grace en palacio, pero también en su residencia privada de verano, Monte Agel, y en el Castillo de Marchais, de la familia Grimaldi. Por primera vez, la familia Grimaldi ha dado acceso a sus archivos privados, muchos de los cuales nunca antes se habían hecho públicos. Se trata de muchas películas rodadas en 8mm, 16mm y super-8 por Grace Kelly y el propio Rainiero, que revelan a una madre bastante diferente a la imagen oficial: libre, vibrante, rodeada de sus hijos y participando en la vida familiar."
2022-09-14 22:25:00,"Paramount Network","Breakdown","Suspense / Thriller","Durante un viaje, una avería deja tirados a Jeff y Amy en mitad del desierto. Un camionero les ofrece una ayuda que el matrimonio acepta encantado. Sin embargo, el remedio será peor que la enfermedad. ''Breakdown'' fue el segundo trabajo como realizador de Jonathan Mostow (''U-571''), un combinado de acción y suspense que se convirtió en una de las películas más taquilleras de 1997 en España. La cinta se basa en una temática muchas veces llevada a la gran pantalla, la del secuestro, y es fácil reconocer en él influencias de títulos como ''Frenético'' o ''Carretera al infierno''. Mostow encargó los papeles protagonistas a la pareja formada por Kurt Russell y Kathleen Quinlan (''Apolo 13''), mientras que el papel del perverso camionero recayó en el siempre correcto JT Walsh, quien falleció un año después del estreno de la cinta."
2022-09-15 00:00:00,"laSexta","El secuestro de Sophie","Suspense / Thriller","Sophie pasa unos días en Moscú con su amiga, la hija del embajador de Estados Unidos en la ciudad. Las medidas de seguridad se amplían para ellas, pero se escapan a una discoteca y son secuestradas."
2022-09-15 00:20:00,"Paramount Network","¡Viven!","Drama","Un avión uruguayo con 45 pasajeros, la mayoría de ellos jugadores de un equipo de rugby, se estrella en la cordillera de los Andes. Milagrosamente, muchos de sus ocupantes sobreviven y se organizan mientras esperan el rescate. Sin embargo, pasan los días y los muchachos no ven que nadie les venga a buscar. Basada en un hecho real que conmocionó al mundo en 1972, la tragedia de los Andes fue narrada por el escritor Piers Paul Read en un libro que se convirtió en versión oficial autorizada por los supervivientes. La negociación de la novela incluyó también los derechos para la filmación de la película que dirigió Frank Marshall (''Aracnofobia''). En el filme se narran las vivencias de estos jóvenes que pasaron 72 días en condiciones extremas y que solo fueron rescatados después de que dos de ellos cruzaran la cordillera en busca de ayuda. La cinta cuenta con un narrador de lujo, John Malkovich, y con la presencia de Ethan Hawke (''Reality Bites'') en el papel de Nando Parrado, convertido en un héroe después de esta tragedia."
2022-09-15 00:40:00,"La 2","Las tentaciones de Justo","Documental","La muerte acecha a Justo Gallego, un labrador español que se convirtió en arquitecto por amor a Dios. Su vida se apaga con la incertidumbre sobre el futuro de una obra inacabada e incomprendida."
2022-09-15 13:15:00,"La 2","El último lobo","Western","Una banda de cazadores pone en jaque a los ciudadanos de Cimarron Strip. Sin recursos, deciden matar ganado para sobrevivir. Jim Crown les ofrece una solución, pero su líder prefiere la vida de forajido a trabajar como granjero. Una de las muchas películas de la saga de ''Cimarrón'' que se hicieron en la década de 1960 para la televisión. Se trata de un wéstern, un género que ya no gozaba de tanta popularidad en el celuloide, pero que estaba en boga en la pequeña pantalla, gracias a series como ''El Virginiano'' o ''Wagon Train''. Al igual que las películas predecesoras de esta franquicia, el trío protagonista sigue estando formado por un rostro habitual de las propuestas del Oeste, Stuart Whitman (''Los comancheros''); Jill Townsend (''Poldark'') y el británico Percy Herbert, quien era más conocido por sus trabajos en el cine bélico (''Los cañones de Navarone'', ''El puente sobre el río Kwai''). Como curiosidad, parte de la banda sonora corre a cargo del multilaureado Maurice Jarre, ganador de tres Oscars, por sus bellas partituras en ''Lawrence de Arabia'', ''Doctor Zhivago'' y ''Pasaje a la India''."
2022-09-15 16:05:00,"TRECE","Zafarrancho de combate","Bélica","La historia del USS Belinda, buque de transporte que, a finales de 1943, navegaba por aguas internacionales con el capitán Hawks y el ex marino mercante MacDougall como comandantes del barco. Aparte de las fricciones personales, los dos tienen mucho que hacer como los unicos oficiales experimentados a bordo. La casi ridícula incompetencia va gradualmente mejorando, pero la tripulacion se mantiene lejos de la perfección cuando el barco entra en acción, llevando tropas a las playas enemigas en Okinawa. Cinta bélica, rodada en la posguerra, que cuenta como mejor baza un gran elenco de actores, entre los que dectacan Jeff Chandler (''Flecha rota''), George Nader (''Robot Monster''), Lex Barker (conocido por sus papeles de Tarzán), Julie Adams (''La mujer y el monstruo''), Keith Andes (''Encuentros en la noche''), Richard Boone (''El Alamo''). Además, los espectadores más detallistas podrán reconocer a dos extras muy conocidos que no aparecen en los títulos de crédito: un Clint Eastwood y un David Janssen que luchaban para hacerse un hueco en Hollywood."
2022-09-15 18:35:00,"TRECE","Encubridora","Drama","Vern Haskell atraviesa el oeste de Estados Unidos en busca del hombre que violó y mató a su prometida. Alguien le dice que es posible que encuentre a los culpables en Chuck-a-Luck, un rancho que sirve de escondite a diversos criminales y que regenta una cantante llamada Altar Keane. Para acceder a él, se hace pasar por un fugitivo. El último de los tres wésterns rodados por el maestro alemán Fritz Lang, tras ''La venganza de Frank James'' y ''Espíritu de conquista''. Se trata de una cinta muy personal, extrañamente poética, que combina el tema favorito del director (el hombre dominado por las fuerzas del destino) con los elementos clásicos del género. Pese a sus excelentes resultados entre la crítica, Lang no guardó muy buen recuerdo de este filme. Mientras lo rodaba, tuvo varios enfrentamientos con Marlene Dietrich (que interpretaba su primer papel de mujer madura y no aceptaba fácilmente los efectos del paso del tiempo en su persona). Aún así, su interpretación resultó excelente. Luego, al terminar el montaje, vio cómo el estudio alteraba su versión, sin pedir su permiso, tal como estipulaba su contrato."
2022-09-15 22:25:00,"Paramount Network","La maldición de la tumba de Tutankamon","Aventuras","Hace miles de años, reinó en Egipto el faraón niño Tutankamon, quien según la leyenda murió misteriosamente luchando contra las fuerzas del mal. Muchos siglos más tarde, en 1922, el joven arqueólogo Danny Freemont, cuyas teorías son consideradas meras fantasías por sus colegas, llega a El Cairo con la intención de encontrar la Tabla Esmeralda, cuyo poseedor será capaz de dominar el mundo. Al parecer, ésta se encuentra en la tumba de Tutankamon, pero también es codiciada por el malvado Morgan Sinclair. Un telefilme de aventuras para toda la familia, que recuerda inevitablemente a la célebre ''En busca del arca perdida''. Encabeza el reparto Casper Van Dien (''Starship Troopers''), secundado por la chilena Leonor Varela (''Voces inocentes'') y por Jonathan Hyde (''Titanic'') en el papel de villano."
2022-09-16 01:30:00,"Paramount Network","Star Trek: La película","Ciencia ficción","Una misteriosa nave espacial ataca a varias aves de presa Klingon mientras éstas realizan una misión de patrulla. Tras su aniquilación, el misterioso cuerpo se dirige hacia la Tierra a toda velocidad, lo que hace que sea requerida la nave espacial Enterprise. Una vez más, el capitán Kirk, ahora convertido en almirante, asume el mando, después de tres años de retiro. El salto al celuloide de una de las series de televisión más míticas de la historia de la pequeña pantalla y el inicio de una de las sagas cinematográficas más rentables de la historia del cine. En un inicio, la que nos ocupa fue concebida como una segunda ficción para la pequeña pantalla que debía llamarse ''Star Trek: Fase dos''. Pero el bum de la ciencia ficción experimentado a raíz del éxito de ''La guerra de las galaxias'' hizo que los productores se replanteasen el proyecto y terminasen convirtiéndolo en una película para el cine. El reparto al completo de la serie original repitió sus papeles, a las órdenes del oscarizado director Robert Wise (''Sonrisas y lágrimas''). Su buena recaudación comercial dejó las puertas abiertas para las sucesivas secuelas."
2022-09-16 16:00:00,"TRECE","La leyenda del indomable","Drama","Luke Jackson, un joven rebelde y pendenciero, debe cumplir dos años de condena tras causar graves destrozos en un bar durante una borrachera. En la cárcel, su indomable carácter chocará de frente con las rígidas normas de la institución, así como con el de otros presos, especialmente el brutal Dragline, el líder de los convictos hasta su llegada. Producida por la compañía de Jack Lemmon y dirigida por Stuart Rosenberg, uno de los realizadores favoritos de Paul Newman, ''La leyenda del indomable'' es una de las películas más importantes de la carrera de este actor. Irónicamente, sin embargo, el Óscar no se lo llevó él, sino George Kennedy (''Aeropuerto 75'' y secuelas), que en la cinta interpreta a su gran enemigo, Dragline. El personaje de Newman se considera como la quintaesencia del tipo rebelde e individualista, dispuesto a todo para mantener su autonomía. En este sentido, destaca la célebre escena en la que se come 50 huevos duros en una hora para ganar una apuesta, que forma ya parte de las más míticas de la historia el cine."
2022-09-16 18:35:00,"TRECE","Dallas, ciudad fronteriza","Western","Concluida la guerra de Secesión, un oficial del ejército del sur que está reclamado por la ley por haber formado parte de las guerrillas de Quantrill, llega hasta la ciudad de Dallas, siguiendo la pista de los hermanos Marlow que, en su ausencia, asesinaron a su familia y expoliaron sus propiedades en Georgia. En la ciudad de Dallas, los hermanos Marlow son perseguidos como los autores de diversas fechorías. Western protagonizado por Gary Cooper bajo las órdenes del director Stuart Heisler, que ya conocía al actor desde sus comienzos, trabajando con él en ''El caballero del Oeste''. Cooper aparece respaldado por el reputado actor Raymond Massey, que encarna a uno de los malévolos hermanos Marlow. Pese a no ser una de las películas más famosas de Cooper, ''Dallas, ciudad fronteriza'' mantiene los parámetros del western clásico, con una historia de forajidos y de venganzas."
2022-09-16 21:10:00,"Disney Channel","Diario de Greg 3: Días de perros","Infantil/Familiar","Greg cree que este será el mejor verano de su vida, hasta que su padre decide que deben estrechar el vínculo entre padre e hijo. El niño se verá obligado a impedir que le arruine las vacaciones."
2022-09-16 22:10:00,"TRECE","El ángel y el pistolero","Western","Evans es un hombre que ha vivido siempre junto a su pistola. Un día cae herido junto a la puerta de una familia de cuáqueros. Wéstern protagonizado por John Wayne, que supone uno de los trabajos menos conocidos de su intérprete. Esta vez, Wayne se puso bajo las órdenes de James Edward Grant, un guionista que en esta ocasión debutaba tras las cámaras. ''El ángel y el pistolero'' sigue bastante las directrices del wéstern clásico, y no innova demasiado. De todos modos, Grant participaría años más tarde como guionista en ''El Alamo'', el filme dirigido en 1960 por el propio Wayne."
2022-09-17 00:00:00,"TRECE","El hombre de la máscara de hierro","Aventuras","Los tres mosqueteros y D'Artagnan descubren que Luis XIV es un falso rey. Philippe, su hermano gemelo y verdadero heredero, ha sido encerrado en la Bastilla, con el rostro cubierto por una máscara de hierro. Enésima adaptación de la novela de Alejandro Dumas ''Veinte años después'', segunda parte de su conocida ''Los tres mosqueteros''. Anteriormente a este filme de Randall Wallace ya se habían realizado cuatro versiones más, dirigidas con mayor o menor fortuna por Allan Dwan (1929), James Whale (1939), Henri Decoin (1962) y Mike Nevell (1977), siendo la de Whale quizás la más conocida. En esta ocasión se contó con un reparto de excepción, con actores como Jeremy Irons, John Malkovich, Gérard Dépardieu y Gabriel Byrne como los mosqueteros, y un Leonardo DiCaprio que aún tenía fresco el éxito de ''Titanic'' en el doble papel de Luis XIV y Philippe. ''El hombre de la máscara de hierro'' fue la primera película dirigida por Randall Wallace, guionista de éxitos como ''Braveheart'' y ''Pearl Harbor'', que volvería a ponerse tras las cámaras con ''Cuando éramos soldados'' y ''El cielo es real'', entre otras."
2022-09-13 00:19:00,"Paramount Network","Vanilla Sky","Drama","David Aames se convirtió en todo un magnate tras heredar de su padre una importante industria editorial. Ahora sus prioridades son mantenerse joven y estar con mujeres bonitas, como su amiga eventual Julie Gianni. Durante su fiesta de cumpleaños, aparece en escena Sofía, una bailarina española por la que se siente increíblemente atraído. Los celos de su amiga eventual provocan una venganza y un terrible accidente. Revisión yanqui de ''Abre los ojos'', el thriller romántico dirigido en 1997 por Alejandro Amenábar. Esta nueva versión se realizó gracias a la insistencia de Tom Cruise, que se hizo con los derechos del filme y quien, además de protagonizarlo, también ejerció de productor. El realizador Cameron Crowe, que ya había trabajado con Cruise en ''Jerry Maguire'', aceptó dirigir la película. La cinta finalmente trascendió lo meramente cinematográfico, ya que dio pie a una relación sentimental entre Cruise y Penélope Cruz, quien repite el papel que interpretara en la original."
2022-09-13 00:42:00,"Neox","Ruslan: la venganza del asesino","Acción","La hija de un gánster ruso retirado, que en la actualidad se dedica a escribir novelas de crimen, va a casarse con el hijo de su mayor enemigo. Cuando Ruslan se entera, decide volver de nuevo a la carrera criminal ya que su familia se ve amenazada. El incansable Steven Seagal (''Por encima de la ley'', ''Alerta máxima'') protagoniza este lanzamiento directo a vídeo, un título de acción fiel a su estilo de películas sobre venganza, golpes, tiroteos, mafia rusa y peleas. Seagal es uno de los iconos del cine de acción junto a otras figuras como Sylvester Stallone (''Rocky'', ''John Rambo''), Chuck Norris (''Walter, Texas Ranger''), Arnold Schwarzenegger (''Terminator'', ''Depredador'') o Jean-Claude Van Damme (''Soldado universal'', ''Máximo riesgo''). El actor, nacido en 1951, es experto en artes marciales, en Kendo y en Karate. Con 17 años se mudó a Japón y ofreció clases de inglés para poder seguir pagando sus estudios. Consiguió el cinturón negro y se alzó como el primer occidental en dirigir su propia escuela Aikidö en Japón."
